"logFC","AveExpr","t","P.Value","adj.P.Val","B","PROBEID","SYMBOL","GENENAME"
-2.61619047619048,-1.01909090909091,-10.0698564312867,4.85124599942817e-15,3.27038663641451e-12,23.8604493136162,"AGhsC220201","",""
-2.01333333333333,-0.960606060606061,-9.56293807316195,3.8081151487434e-14,1.8632738895529e-11,21.8677363373957,"AGhsB160922","",""
-2.01038095238095,-0.648333333333333,-13.1506021068101,3.15448949998636e-20,7.36112257473739e-17,35.339024597823,"AGhsC051424","",""
-1.8946195415873,-0.687277934949496,-9.56675884178556,3.74914268781186e-14,1.8632738895529e-11,21.8828395739335,"AGhsB170314","",""
-1.56638095238095,-0.487727272727273,-14.3555304384153,4.04917076140351e-22,1.7547949173991e-18,39.482699477138,"AGhsB010709","",""
-1.43514285714286,-0.498636363636364,-14.541962313012,2.09845461364971e-22,1.06097865266129e-18,40.1055852115228,"AGhsA150420","SPOP","speckle-type POZ protein"
-1.38365818697366,-0.3463070692289,-11.1749855334592,5.90531905578058e-17,7.45038795377247e-14,28.1137390778391,"AGhsC170913","",""
-1.36914285714286,-0.566969696969697,-13.1659315456699,2.98097549120141e-20,7.36112257473739e-17,35.3930201668685,"AGhsC080307","",""
-1.35085714285714,-0.408484848484849,-15.5231098415801,7.09823579917161e-24,1.07666040601835e-19,43.3034823541415,"AGhsB131502","",""
-1.30561904761905,-0.740757575757576,-9.11604322586592,2.37985364992233e-13,9.88975894849916e-11,20.0935579584347,"AGhsA140607","GPR32","G protein-coupled receptor 32"
-1.25250793650794,-0.563636363636364,-10.6232251588272,5.25301461642514e-16,4.82895307284464e-13,26.0071277212091,"AGhsB170206","",""
-1.20965079365079,-0.58,-9.82644729526294,1.30134236580182e-14,7.59183115556999e-12,22.9064824867978,"AGhsB191111","",""
-1.15253968253968,-0.435606060606061,-10.3574690177854,1.52218876737291e-15,1.18402867812884e-12,24.9801887240601,"AGhsB041616","EIF2AK2","eukaryotic translation initiation factor 2-alpha kinase 2"
-1.14479365079365,-0.558030303030303,-7.65660825382901,1.00299714864046e-10,2.57158881714951e-08,14.2347689035339,"AGhsB220904","",""
-1.08756420282764,-0.340487599889603,-7.45953346254572,2.27073299862408e-10,4.88545788980568e-08,13.4424829564207,"AGhsB131114","WDR43","WD repeat domain 43"
-1.05257142857143,-0.544242424242424,-9.08794654124704,2.67159276234978e-13,1.09520862214382e-10,19.9815498272886,"AGhsA091324","ATP8A2","ATPase, aminophospholipid transporter-like, class I, type 8A, member 2"
-1.03466666666667,-0.314545454545455,-7.34532791019332,3.64392750487641e-10,7.2725121571007e-08,12.9839489652638,"AGhsA011214","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
